num_1,ENTRY,tycod,Location,latitude,longitude,X,Y
F140003944,1/8/14 17:42,69D03,116 T ST NE,38.91575354,-77.00531499,399539.06,138654.09
F140004003,1/8/14 19:11,69D04S,1212 SOUTHERN AVE SE,38.83403818,-76.98586373,401227.37,129583.15
F140004214,1/9/14 4:20,69D05,1539 25TH ST SE,38.87127149,-76.97118756,402500.31,133716.61
F140004365,1/9/14 9:38,71B01,4417 TEXAS AVE SE,38.88382819,-76.94099295,405119.66,135111.76
F140004450,1/9/14 11:18,69C02,3130 BUENA VISTA TER SE,38.85121957,-76.96525025,403016.39,131490.88
F140004461,1/9/14 11:32,69D05,3329 MARTIN LUTHER KING JR AVE SE,38.84255029,-77.002818,399755.36,130527.96
F140004487,1/9/14 12:03,69D05,562 49TH PL NE,38.89702122,-76.93203987,405895.37,136576.83
F140004593,1/9/14 14:20,69D03,611 N ST NW,38.90747148,-77.02055935,398216.79,137734.9
F140004617,1/9/14 14:56,71B01,0 MALCOLM X AVE SE,38.84510557,-77.00817424,399290.39,130811.642
F140004720,1/9/14 17:54,67D02,ALABAMA AVE SE / H ST SE,38.87866019,-76.93857633,405329.72,134538.21
F140004786,1/9/14 20:03,69D05S,5510 NANNIE HELEN BURROUGHS AVE NE,38.89856575,-76.92121583,406834.18,136749.04
F140004787,1/9/14 20:03,69D05,510 I ST NW,38.90067954,-77.01956999,398302.44,136980.92
F140004814,1/9/14 20:43,67B01,2542 NAYLOR RD SE,38.86462236,-76.97037745,402570.85,132978.53
F140004898,1/10/14 0:15,71B01,MARTIN LUTHER KING JR AVE SE / SHERIDAN RD SE,38.86150221,-76.99379603,400538.448,132631.771
F140004924,1/10/14 1:27,71B01,46TH ST NE / JAY ST NE,38.90148346,-76.9365867,405500.6,137071.89
F140004960,1/10/14 4:10,69C01,1244 SAVANNAH PL SE,38.84405122,-76.9887064,400980.42,130694.63
F140004961,1/10/14 4:21,67D02,29TH ST SE / DENVER ST SE,38.85914106,-76.96562603,402983.44,132370.21
F140005092,1/10/14 10:01,67B01U,0 ANACOSTIA FWY NB,38.87519141,-76.97451984,402211.017,134151.665
F140005093,1/10/14 10:03,52C03G,1143 NEW HAMPSHIRE AVE NW,38.90473174,-77.04756203,395874.56,137431.64
F140005308,1/10/14 17:59,52C03G,ANACOSTIA AVE NE / QUARLES ST NE,38.91313285,-76.93806894,405371.15,138364.98
F140005532,1/11/14 3:28,69D03H,3700 NORTH CAPITOL ST NW,38.93654781,-77.00695403,399397.09,140962.44
F140005580,1/11/14 7:57,69D04,1317 K ST SE,38.87824741,-76.98748006,401086.36,134490.67
F140005605,1/11/14 9:28,67B01,1361 NEW YORK AVE NE,38.9151537,-76.98541052,401265.28,138587.59
F140005680,1/11/14 12:16,69D04,1548 BUTLER ST SE,38.86230996,-76.98342351,401438.67,132721.55
F140005713,1/11/14 13:28,MNHL,322 G ST SW,38.88103556,-77.01574368,398633.97,134800.22
F140005716,1/11/14 13:34,52B01G,321 OGLETHORPE ST NW,38.96152547,-77.01705373,398521.97,143735.3
F140005793,1/11/14 16:26,69D04,5030 1ST ST NW,38.95164898,-77.01206643,398954.07,142638.85
F140005878,1/11/14 19:50,67B03U,1355 NEW YORK AVE NE,38.9150679,-76.98582945,401228.95,138578.06
F140005904,1/11/14 20:54,69D04,1338 W ST NW,38.91900881,-77.03119161,397295.04,139015.9
F140005921,1/11/14 21:15,52B01S,443 10TH ST NE,38.89596938,-76.99240924,400658.49,136457.9
F140006036,1/12/14 1:49,69D02,1425 4TH ST SW,38.87275047,-77.0187378,398373.99,133880.56
F140006095,1/12/14 4:46,57D03F,4510 BOWEN RD SE,38.8739154,-76.93432461,405699.02,134011.76
F140006178,1/12/14 10:25,69D03,20TH ST NE / D ST NE,38.89477756,-76.97621771,402063.12,136325.84
F140006203,1/12/14 11:26,53A04,5754 COLORADO AVE NW,38.96001235,-77.03041044,397364.3,143567.63
F140006298,1/12/14 14:58,69D03,4828 FORT TOTTEN DR NE,38.94939815,-77.0067361,399416.09,142388.94
F140006377,1/12/14 18:10,69D04,2900 14TH ST NW,38.92705705,-77.03274396,397160.74,139909.37
F140006382,1/12/14 18:18,69C01,1407 K ST SE,38.87822524,-76.98509573,401293.25,134488.24
F140006398,1/12/14 19:08,67D03,1830 CONSTITUTION AVE NE,38.89243114,-76.97897793,401823.73,136065.31
F140006524,1/13/14 1:17,69D07,4132 HAYES ST NE,38.89993047,-76.94299187,404945.11,136899.13
F140006582,1/13/14 6:58,69D03,651 MORTON ST NW,38.93226305,-77.02284192,398019.5,140487.02
F140006584,1/13/14 7:09,71B01,64 GALVESTON PL SW,38.82418404,-77.01031093,399104.64,128489.23
F140006654,1/13/14 9:52,69D05,2708 MINNESOTA AVE SE,38.87475985,-76.96856684,402727.6,134103.92
F140006848,1/13/14 16:35,69D04,319 50TH ST NE,38.89518345,-76.92905591,406154.38,136373.02
F140006930,1/13/14 19:04,69D03,2480 16TH ST NW,38.92263635,-77.0373918,396757.52,139418.79
F140006981,1/13/14 21:12,69D07S,7035 BLAIR RD NW,38.97571913,-77.01879662,398371.24,145310.96
F140007008,1/13/14 22:43,67B01V,59 K ST NW,38.90367668,-77.01071867,399070.27,137313.5
F140007050,1/14/14 0:49,71D01,24TH ST SE / IRVING ST SE,38.85301447,-76.97220621,402412.53,131689.92
F140007051,1/14/14 0:52,67B01,14TH ST NW / CLIFTON ST NW,38.9224276,-77.03201048,397224.16,139395.44
F140007340,1/14/14 15:52,69D04,2308 HARTFORD ST SE,38.85511095,-76.97197486,402432.54,131922.65
F140007417,1/14/14 18:47,71B01,13TH ST NW / SHEPHERD ST NW,38.93974209,-77.02970418,397424.78,141317.43
F140007562,1/15/14 2:46,52C03S,1050 NEW JERSEY AVE NW,38.90329314,-77.01456471,398736.66,137270.97
F140007927,1/15/14 18:33,71B02,2700 NEW YORK AVE NE,38.91797683,-76.97059952,402549.67,138901.29
F140008050,1/16/14 0:13,71D01,3670 HAYES ST NE,38.90563293,-76.95220023,404146.01,137531.69
F140008055,1/16/14 0:53,67B01,7TH ST NW / H ST NW,38.89981311,-77.02191443,398099.053,136884.786
F140008131,1/16/14 8:18,69D04S,2020 19TH PL SE,38.86461652,-76.9772831,401971.53,132977.71
F140008196,1/16/14 11:26,69D05,3501 ALTON PL NW,38.9472389,-77.06709703,394183.6,142151.36
F140008253,1/16/14 13:54,52C03G,1777 CHURCH ST NW,38.91053086,-77.04091384,396451.5,138075.11
F140008269,1/16/14 14:20,LA2-FIREALARM,1810 CONNECTICUT AVE NW,38.91467806,-77.04658972,395959.46,138535.72
F140008306,1/16/14 15:40,69D05,5446 BASS PL SE,38.88509666,-76.922085,406760.06,135253.8
F140008319,1/16/14 16:24,69C01,722 HAMLIN ST NE,38.92762104,-76.99526793,400410.32,139971.48
F140008365,1/16/14 18:21,69D04,2224 SAVANNAH TER SE,38.8493051,-76.9735078,402299.67,131278.12
F140008429,1/16/14 21:01,67B01V,91 K ST NW,38.90339143,-77.0112162,399027.11,137281.84
F140008501,1/17/14 1:13,71D01,4000 E ST SE,38.88311514,-76.94652185,404640,135032.31
F140008528,1/17/14 2:56,67D02,3800 MILITARY RD NW,38.96078064,-77.07487291,393510.77,143655.14
F140008649,1/17/14 10:42,69D04,2482 ALABAMA AVE SE,38.85421986,-76.97026575,402580.92,131823.78
F140008715,1/17/14 13:02,67B01,273 56TH PL NE,38.89317892,-76.92000325,406939.89,136151.15
F140008894,1/17/14 20:00,67D02S,2401 H ST NW,38.89976232,-77.05171923,395513.66,136880.19
F140008952,1/17/14 22:36,67B03U,14TH ST NW / WEBSTER ST NW,38.94399554,-77.0327259,397162.98,141789.69
F140009184,1/18/14 11:30,6.90E+03,2225 CALIFORNIA ST NW,38.9160829,-77.04989975,395672.48,138691.82
F140009217,1/18/14 12:51,52C03G,1050 NEW JERSEY AVE NW,38.90329314,-77.01456471,398736.66,137270.97
F140009281,1/18/14 15:16,71B01,632 JEFFERSON ST NE,38.95654249,-76.99686093,400272.08,143182.01
F140009287,1/18/14 15:32,67D02,1140 NORTH CAPITOL ST NW,38.90511975,-77.00948724,399177.1,137473.68
F140009291,1/18/14 15:42,67B01,14TH ST NW / N ST NW,38.9072393,-77.03195068,397228.756,137709.41
F140009375,1/18/14 19:42,69D05,135 QUINCY PL NE,38.91168908,-77.00520111,399548.91,138202.9
F140009428,1/18/14 22:44,69D04,336 V ST NW,38.91829272,-77.01737952,398492.82,138936.09
F140009445,1/18/14 23:49,69D03,924 25TH ST NW,38.90142355,-77.05371186,395340.92,137064.7
F140009510,1/19/14 1:53,71B01,503 49TH PL NE,38.89577434,-76.93182572,405914.05,136438.43
F140009520,1/19/14 2:09,71B01,17TH ST NW / N ST NW,38.90724228,-77.03849608,396661.041,137709.96
F140009691,1/19/14 14:05,71C02,5929 GEORGIA AVE NW,38.96207052,-77.02728285,397635.44,143796.02
F140009707,1/19/14 15:19,69D03S,3730 MINNESOTA AVE NE,38.8911448,-76.95246053,404124.27,135923.38
F140009794,1/19/14 20:21,67B01,1351 ALABAMA AVE SE,38.84497881,-76.98614655,401202.63,130797.63
F140009818,1/19/14 21:37,67D03S,VAN NESS ST NW / CONNECTICUT AVE NW,38.94315416,-77.06292092,394545.3,141697.66
F140009865,1/20/14 1:24,69D04S,121 TAUSSIG PL NE,38.94131493,-77.00477406,399586.12,141491.62
F140009899,1/20/14 4:36,69D03,301 14TH ST SW,38.88637627,-77.03195709,397227.389,135393.447
F140009910,1/20/14 5:38,67B01,U ST NW / 14TH ST NW,38.91699776,-77.03195074,397229.13,138792.68
F140009932,1/20/14 6:46,67B01,1200 HOLBROOK TER NE,38.90761157,-76.98676829,401147.648,137750.333
F140009942,1/20/14 7:55,69D05,36 MADISON ST NE,38.95893088,-77.00674715,399415.21,143447.16
F140010206,1/20/14 19:53,67B01,919 RHODE ISLAND AVE NE,38.92047063,-76.99607238,400340.6,139177.72
F140010250,1/20/14 22:24,67B01R,919 RHODE ISLAND AVE NE,38.92047063,-76.99607238,400340.6,139177.72
F140010408,1/21/14 9:24,67D02,4675 SOUTH CAPITOL ST SW,38.82118826,-77.00178399,399845.08,128156.63
F140010412,1/21/14 9:35,69D05,3320 M ST SE,38.87586772,-76.95928076,403533.34,134227.22
F140010434,1/21/14 10:33,69D04,2201 16TH ST SE,38.86347216,-76.98295267,401479.51,132850.57
F140010538,1/21/14 15:24,69D05,413 15TH ST SE,38.88375325,-76.98387678,401398.91,135101.91
F140010540,1/21/14 15:27,71B01,4500 3RD ST SE,38.82511299,-77.0011796,399897.57,128592.3
F140010610,1/21/14 18:04,69D04S,501 60TH ST NE,38.89604675,-76.91480065,407390.93,136469.91
F140010618,1/21/14 18:20,67A00,900 RHODE ISLAND AVE NE,38.92247118,-76.99366639,400549.23,139399.81
F140010729,1/21/14 23:41,69D04,2640 WADE RD SE,38.85887465,-76.99645898,400307.34,132340.08
F140010736,1/22/14 0:28,69D04,2557 STANTON RD SE,38.85896417,-76.99448652,400478.537,132350.026
F140010789,1/22/14 4:16,69D05,4121 SOUTH CAPITOL TER SW,38.829144,-77.00936163,399187.13,129039.81
F140010808,1/22/14 6:12,67B03,4TH ST NE / RHODE ISLAND AVE NE,38.9197547,-77.0005695,399950.614,139098.238
F140010900,1/22/14 10:35,69D03,23RD ST NW / F ST NW,38.89731931,-77.0501354,395650.899,136608.92
F140010908,1/22/14 10:52,69D03,616 23RD ST NW,38.89793834,-77.05040373,395627.66,136677.65
F140011048,1/22/14 15:20,69D04,429 KENYON ST NW,38.93071074,-77.01883077,398367.25,140314.62
F140011261,1/23/14 2:20,6.90E+03,610 KENNEDY ST NE,38.95719535,-76.99823894,400152.64,143254.48
F140011265,1/23/14 3:01,69D02,1206 10TH ST NW,38.90593718,-77.02640222,397709.96,137564.71
F140011466,1/23/14 13:17,69D02S,2701 NAYLOR RD SE,38.85927177,-76.96849024,402734.84,132384.63
F140011602,1/23/14 18:11,71B01,4330 POLK ST NE,38.90980902,-76.94097053,405119.74,137995.84
F140011671,1/23/14 21:13,69D01,3900 14TH ST NW,38.9389332,-77.03351519,397094.35,141227.75
F140011672,1/23/14 21:17,69D05,1939 CAPITOL AVE NE,38.91227565,-76.98421462,401369.05,138268.12
F140011812,1/24/14 8:24,71B01,1864 ALABAMA AVE SE,38.8498129,-76.97734507,401966.56,131334.4
F140011813,1/24/14 8:26,69D00,1301 UPSHUR ST NW,38.94213709,-77.0302073,397381.25,141583.31
F140011883,1/24/14 11:14,69D04,5810 BLAIR RD NW,38.96055783,-77.00982957,399148.07,143627.79
F140012126,1/24/14 19:15,69D04,880 SOUTHERN AVE SE,38.82848173,-76.99231887,400666.96,128966.28
F140012133,1/24/14 19:29,69D04,1231 HOLBROOK TER NE,38.90701544,-76.98585261,401227.08,137684.17
F140012163,1/24/14 20:34,52C04S,1911 MARYLAND AVE NE,38.90301909,-76.975176,402153.24,137240.74
F140012177,1/24/14 21:12,69D04,3935 9TH ST NE,38.9390345,-76.99376861,400540.24,141238.48
F140012390,1/25/14 10:30,69D10,1339 FAIRMONT ST NW,38.9250122,-77.03126032,397289.31,139682.33
F140012523,1/25/14 15:06,69D05,1525 25TH ST SE,38.87194018,-76.97119547,402499.6,133790.84
F140012571,1/25/14 16:52,67B01,2ND ST SE / H ST SE,38.88063244,-77.00344661,399700.947,134755.358
F140012574,1/25/14 16:59,69D04,2020 19TH PL SE,38.86461652,-76.9772831,401971.53,132977.71
F140012601,1/25/14 17:39,69D05,3408 ALABAMA AVE SE,38.86274286,-76.95708117,403724.89,132770.35
F140012605,1/25/14 17:48,67B03,301 49TH ST NE,38.89331506,-76.93245515,405859.65,136165.39
F140012658,1/25/14 19:21,71A01,1300 45TH PL NE,38.90715285,-76.93893454,405296.523,137701.1
F140012723,1/25/14 21:34,71B01,KENILWORTH AVE NE / BENNING RD NE,38.89561039,-76.95178854,404182.306,136419.126
F140012737,1/25/14 21:52,67B01V,3100 BRUCE PL SE,38.8518419,-76.98340405,401440.57,131559.52
F140012763,1/25/14 22:56,69D01S,300 HAMILTON ST NE,38.95325091,-77.00102021,399911.57,142816.61
F140012805,1/26/14 0:25,67B01U,WEST VIRGINIA AVE NE / OATES ST NE,38.90638604,-76.99039997,400832.67,137614.25
F140012808,1/26/14 0:37,69D04S,1026 45TH ST NE,38.90384968,-76.9377603,405398.62,137334.49
F140012841,1/26/14 1:53,67B01,3100 BRUCE PL SE,38.8518419,-76.98340405,401440.57,131559.52
F140012970,1/26/14 9:33,69D03,3401 BENNING RD NE,38.89620303,-76.95719857,403712.96,136484.68
F140012973,1/26/14 9:47,52C03S,3965 MARTIN LUTHER KING JR AVE SW,38.83198153,-77.00995606,399135.55,129354.8
F140013045,1/26/14 12:46,69D03,1919 CONNECTICUT AVE NW,38.91646395,-77.04523682,396076.89,138733.91
F140013097,1/26/14 14:53,52C03,1050 NEW JERSEY AVE NW,38.90329314,-77.01456471,398736.66,137270.97
F140013127,1/26/14 15:50,69D04,4315 3RD ST SE,38.82841043,-77.00283264,399754.04,128958.34
F140013192,1/26/14 18:38,69D05,1374 RITTENHOUSE ST NW,38.96526867,-77.03240404,397191.72,144151.19
F140013206,1/26/14 19:13,69D05,1211 FERN ST NW,38.97817653,-77.02876762,397507.32,145583.98
F140013312,1/26/14 23:14,67B01,1812 NEWTON ST NE,38.93428678,-76.97917216,401805.82,140711.63
F140013694,1/27/14 17:00,67D03,1500 NEAL ST NE,38.90252764,-76.98364024,401419.06,137186.02
F140013708,1/27/14 17:21,67D02R,334 ANACOSTIA RD SE,38.88473029,-76.95494652,403908.95,135211.21
F140013724,1/27/14 17:51,69D05,3020 ADAMS ST NE,38.92147631,-76.96391674,403129.06,139289.97
F140013754,1/27/14 18:45,67B01U,7TH ST SW / VIRGINIA AVE SW,38.88558925,-77.02191035,398099.028,135305.825
F140013767,1/27/14 19:03,69D04,611 MORTON ST NW,38.93239554,-77.02156256,398130.43,140501.7
F140013854,1/27/14 22:21,69D07S,2151 CALIFORNIA ST NW,38.91645011,-77.0487573,395771.58,138732.53
F140013951,1/28/14 6:41,69D04,1746 BENNING RD NE,38.89939681,-76.97775356,401929.76,136838.58
F140014139,1/28/14 15:05,67B03,11TH ST NW / MASSACHUSETTS AVE NW,38.90394851,-77.02704987,397653.72,137343.968
F140014176,1/28/14 16:50,52C03G,1050 NEW JERSEY AVE NW,38.90329314,-77.01456471,398736.66,137270.97
F140014194,1/28/14 17:22,67D02S,3901 1ST ST SW,38.83400046,-77.00944255,399180.16,129578.91
F140014209,1/28/14 17:57,67B03U,2433 18TH ST NW,38.92137625,-77.0419413,396362.94,139279.08
F140014232,1/28/14 18:41,71B01,1800 ALABAMA AVE SE,38.8474671,-76.97914126,401810.701,131073.963
F140014234,1/28/14 18:46,69D05S,506 SEWARD SQ SE,38.88671704,-76.99913314,400075.21,135430.79
F140014290,1/28/14 20:40,67A01R,3008 15TH ST NE,38.92832959,-76.98433989,401357.88,140050.24
F140014314,1/28/14 22:08,69D04,232 10TH ST NE,38.89299917,-76.992859,400619.5,136128.18
F140014433,1/29/14 7:59,69D03,738 LONGFELLOW ST NW,38.95709468,-77.02368161,397947.41,143243.57
F140014550,1/29/14 12:31,71B01,WHEELER RD SE / CONGRESS ST SE,38.84060027,-76.9936657,400549.92,130311.51
F140014701,1/29/14 17:30,69D03,5500 16TH ST NW,38.95676257,-77.03681634,396808.95,143207.08
F140014783,1/29/14 20:54,69D04,2727 FAIRLAWN AVE SE,38.87557579,-76.96839304,402742.65,134194.5
F140014831,1/30/14 0:02,69D05,1759 LYMAN PL NE,38.90482468,-76.97717611,401979.7,137441.13
F140014908,1/30/14 6:56,69D06,1320 UNDERWOOD ST NW,38.96880128,-77.03066079,397342.93,144543.29
F140014940,1/30/14 8:28,MSB,400 7TH ST SW,38.88408119,-77.0215241,398132.5,135138.41
F140015100,1/30/14 14:28,TUN3,0 I395  SB,38.88984947,-77.01422148,398766.199,135778.611
F140015351,1/30/14 23:08,69D04,1521 F ST NE,38.89613558,-76.9829663,401477.65,136476.46
F140015403,1/31/14 3:25,69D04,1317 5TH ST NW,38.9074512,-77.01792441,398445.33,137732.6
F140015417,1/31/14 4:29,67B01,1ST ST NE / K ST NE,38.90251495,-77.0058872,399489.34,137184.5
F140015419,1/31/14 4:56,67B01,4900 MACARTHUR BLVD NW,38.91903873,-77.09849585,391458.372,139023.368
F140015424,1/31/14 5:28,6.90E+03,3151 MOUNT PLEASANT ST NW,38.93036053,-77.03767219,396733.56,140276.25
F140015460,1/31/14 8:13,69D05,1225 MORSE ST NE,38.90304486,-76.98860172,400988.69,137243.37
F140015500,1/31/14 9:21,71B01,118 URELL PL NE,38.94235203,-77.00514868,399553.65,141606.75
F140015516,1/31/14 10:05,69D02,410 M ST SE,38.8767108,-76.99995357,400004.03,134320.02
F140015606,1/31/14 13:28,71B01,NEW YORK AVE NE / 36TH PL NE,38.91735088,-76.95677842,403748.296,138832.282
F140015617,1/31/14 13:47,67B01,13TH ST NW / K ST NW,38.90252238,-77.02962613,397430.206,137185.725
F140015685,1/31/14 16:09,67D02,1701 MASSACHUSETTS AVE NW,38.90843127,-77.03882382,396632.67,137841.96
F140015752,1/31/14 18:15,67B01,IRVING ST NW / 16TH ST NW,38.92868735,-77.0364765,396837.16,140090.47
F140015798,1/31/14 19:43,69D02S,5551 ILLINOIS AVE NW,38.9571584,-77.02768247,397600.64,143250.74
F140015848,1/31/14 21:16,71B01,4165 ALABAMA AVE SE,38.87139578,-76.93919506,405276.57,133731.77
F140015876,1/31/14 22:40,67B03U,MCKINLEY ST NW / CONNECTICUT AVE NW,38.96490265,-77.07557303,393450.47,144112.77
F140015883,1/31/14 22:45,67B03U,1410 ORREN ST NE,38.90441729,-76.98470162,401326.96,137395.77
F140015885,1/31/14 22:51,67B01R,22ND ST NW / N ST NW,38.90723834,-77.04880596,395766.813,137709.95
F140015983,2/1/14 4:20,67B03U,WISCONSIN AVE NW / S ST NW,38.9146991,-77.06720444,394171.63,138539.17
F140016112,2/1/14 11:58,69D03,3555 GEORGIA AVE NW,38.93426605,-77.02375292,397940.57,140709.39
F140016120,2/1/14 12:15,67B01,1301 U ST NW,38.9172098,-77.0306604,397341.04,138816.18
F140016136,2/1/14 12:55,71B01,2203 15TH ST NW,38.91955529,-77.03456939,397002.14,139076.67
F140016244,2/1/14 17:25,69D03,3050 K ST NW,38.90194385,-77.06091849,394715.84,137122.85
F140016253,2/1/14 17:44,67B01,1500 17TH ST SE,38.8720311,-76.98078543,401667.401,133800.714
