SiteName,NRCSiteName,UnitNumber,Full,lat,lon
McGuire,"McGuire Nuclear Station, Unit 1",1,"35.4325,-80.948333",35.4325,-80.94833
McGuire,"McGuire Nuclear Station, Unit 2",2,"35.4325,-80.948333",35.4325,-80.94834
Millstone,"Millstone Power Station, Unit 2",2,"41.311944,-72.168611",41.31194,-72.16861
Millstone,"Millstone Power Station, Unit 3",3,"41.311944,-72.168611",41.31194,-72.16862
Monticello,"Monticello Nuclear Generating Plant, Unit 1",1,"45.333611,-93.849167",45.33361,-93.84917
Nine Mile Point,"Nine Mile Point Nuclear Station, Unit 1",1,"43.520833,-76.406944",43.52083,-76.40694
Nine Mile Point,"Nine Mile Point Nuclear Station, Unit 2",2,"43.520833,-76.406944",43.52083,-76.40695
North Anna,"North Anna Power Station, Unit 1",1,"38.060556,-77.789444",38.06056,-77.78944
North Anna,"North Anna Power Station, Unit 2",2,"38.060556,-77.789444",38.06056,-77.78945
Oconee,"Oconee Nuclear Station, Unit 1",1,"34.793889,-82.898056",34.79389,-82.89806
Oconee,"Oconee Nuclear Station, Unit 2",2,"34.793889,-82.898056",34.79389,-82.89807
Oconee,"Oconee Nuclear Station, Unit 3",3,"34.793889,-82.898056",34.79389,-82.89808
Oyster Creek,Oyster Creek Nuclear Generating Station,1,"39.814722,-74.205",39.81472,-74.205
Palisades,Palisades Nuclear Plant,1,"42.322778,-86.314444",42.32278,-86.31444
Palo Verde,"Palo Verde Nuclear Generating Station, Unit 1",1,"33.389167,-112.865",33.38917,-112.865
Palo Verde,"Palo Verde Nuclear Generating Station, Unit 2",2,"33.389167,-112.865",33.38917,-112.866
Palo Verde,"Palo Verde Nuclear Generating Station, Unit 3",3,"33.389167,-112.865",33.38917,-112.867
Peach Bottom,"Peach Bottom Atomic Power Station, Unit 2",2,"39.758333,-76.268056",39.75833,-76.26806
Peach Bottom,"Peach Bottom Atomic Power Station, Unit 3",3,"39.758333,-76.268056",39.75833,-76.26807
Perry,"Perry Nuclear Power Plant, Unit 1",1,"41.800833,-81.143333",41.80083,-81.14333
Pilgrim,Pilgrim Nuclear Power Station,1,"41.945,-70.578333",41.945,-70.57833
Point Beach,"Point Beach Nuclear Plant, Unit 1",1,"44.281111,-87.536667",44.28111,-87.53667
Point Beach,"Point Beach Nuclear Plant, Unit 2",2,"44.281111,-87.536667",44.28111,-87.53668
Prairie Island,"Prairie Island Nuclear Generating Plant, Unit 1",1,"44.621667,-92.633056",44.62167,-92.63306
Prairie Island,"Prairie Island Nuclear Generating Plant, Unit 2",2,"44.621667,-92.633056",44.62167,-92.63307
Quad Cities,"Quad Cities Nuclear Power Station, Unit 1",1,"41.726389,-90.31",41.72639,-90.31
Quad Cities,"Quad Cities Nuclear Power Station, Unit 2",2,"41.726389,-90.31",41.72639,-90.32
Ginna,R.E. Ginna Nuclear Power Plant,1,"43.277778,-77.31",43.27778,-77.31
River Bend,"River Bend Station, Unit 1",1,"30.756667,-91.333333",30.75667,-91.33333
Salem,"Salem Nuclear Generating Station, Unit 1",1,"39.462778, -75.535556",39.46278,-75.53556
Salem,"Salem Nuclear Generating Station, Unit 2",2,"39.462778, -75.535556",39.46278,-75.53557
Seabrook,"Seabrook Station, Unit 1",1,"42.898889, -70.850833",42.89889,-70.85083
Sequoyah,"Sequoyah Nuclear Plant, Unit 1",1,"35.226389, -85.091667",35.22639,-85.09167
Sequoyah,"Sequoyah Nuclear Plant, Unit 2",2,"35.226389, -85.091667",35.22639,-85.09168
Shearon Harris,"Shearon Harris Nuclear Power Plant, Unit 1",1,"35.633333, -78.955",35.63333,-78.955
South Texas,"South Texas Project, Unit 1",1,"28.795556, -96.048889",28.79556,-96.04889
South Texas,"South Texas Project, Unit 2",2,"28.795556, -96.048889",28.79556,-96.0489
Saint Lucie,"St. Lucie Plant, Unit 1",1,"27.348611,-80.246389",27.34861,-80.24639
Saint Lucie,"St. Lucie Plant, Unit 2",2,"27.348611,-80.246389",27.34861,-80.2464
Surry,"Surry Power Station, Unit 1",1,"37.165556, -76.697778",37.16556,-76.69778
Surry,"Surry Power Station, Unit 2",2,"37.165556, -76.697778",37.16556,-76.69779
Susquehanna,"Susquehanna Steam Electric Station, Unit 1",1,"41.088889, -76.148889",41.08889,-76.14889
Susquehanna,"Susquehanna Steam Electric Station, Unit 2",2,"41.088889, -76.148889",41.08889,-76.1489
Three Mile Island,"Three Mile Island Nuclear Station, Unit 1",1,"40.153889, -76.724722",40.15389,-76.72472
Turkey Point,Turkey Point Nuclear Generating Unit No. 3,3,"25.434167,-80.330556",25.43417,-80.33056
Turkey Point,Turkey Point Nuclear Generating Unit No. 4,4,"25.434167,-80.330556",25.43417,-80.33057
Summer,"Virgil C. Summer Nuclear Station, Unit 1",1,"34.298611, -81.314722",34.29861,-81.31472
Vogtle,"Vogtle Electric Generating Plant, Unit 1",1,"33.143333, -81.760556",33.14333,-81.76056
Vogtle,"Vogtle Electric Generating Plant, Unit 2",2,"33.143333, -81.760556",33.14333,-81.76057
Waterford,"Waterford Steam Electric Station, Unit 3",3,"29.995278, -90.471111",29.99528,-90.47111
Watts Bar,"Watts Bar Nuclear Plant, Unit 1",1,"35.602778, -84.789444",35.60278,-84.78944
Watts Bar,"Watts Bar Nuclear Plant, Unit 2",2,"35.602778, -84.789444",35.60278,-84.78945
Wolf Creek,"Wolf Creek Generating Station, Unit 1",1,"38.238889, -95.688889",38.23889,-95.68889
Crystal River,,3,"28.9575,-82.698333",28.9575,-82.69833
Kewaunee,,1,"44.342222,-87.536111",44.34222,-87.53611
San Onofre,,2,"33.368889, -117.555",33.36889,-117.555
San Onofre,,3,"33.368889, -117.555",33.36889,-117.556
Vermont Yankee,,1,"42.778889, -72.513056",42.77889,-72.51306
