,Business_Name,Address,Phone Number,Website,Status,Online Ordering,Pick-Up,Walk-Up,Delivery,Doordash,Grubhub,Postmates,Ubereats,E-Gift Cards,Gift Cards,"Notes (i.e. modified hours, special offerings, etc. )",Last Updated,Latitude,Longitude
18,Bodhi Corner,1444 Light St,(443) 708-7527,https://bodhifedhill.com/,OPEN,,X,X,X,,X,,,https://rallyforrestaurants.com/,https://www.toasttab.com/bodhi-fedhill/giftcards,,3/18/20,39.2729925,-76.6119993
19,Bookmakers,31 E Cross St,(443) 438-4039,www.bookmakersbaltimore.com,,,,,,,,,,https://rallyforrestaurants.com/,,,3/18/20,39.276544,-76.6131893
20,BRD,1104 S Charles St,(664) 210-2222,https://www.eatbrd.com/,OPEN,,,X,,,,,,,,,3/18/20,39.276723,-76.614487
21,Brendali Italian Ristorante,1022 Light Street,(410) 800-2485,http://brendaliitalianristorante.godaddysites.com/?fbclid=IwAR26Z65beQp5GV_4CGYYb8S_BY-Z6ubr364TQFbhob21nNbvPZZ5XK63qHM,OPEN,,X,X,X,,,,,,,,3/18/20,39.2777106,-76.6127275
22,Brewers Cask,1236 Light St,(410) 273-9377,www.brewerscask.com,OPEN,,,,,,X,,X,,,,3/19/20,39.2751029,-76.6123065
23,Brother Sushi,1035 S Charles St,(410) 891-2886,https://brotherssushi.com/,,,,,,,X,,,,,,3/18/20,39.2774116,-76.6141623
24,Byblos,1033 Light St,(410) 209-2495,https://bybloslebanesecuisine.com/,OPEN,,X,X,,,,,,,,,3/18/20,39.2775586,-76.6122019
25,Cans Filling Station,1065 S Charles St,(484) 998-8227,https://www.crossstmarket.com/vendors/cans-fill-station/,OPEN,https://thecansclub.square.site/,X,,,,,,,X,X,,3/18/20,39.2768086,-76.6133302
26,Captain Larrys,601 E Fort Ave,(410) 727-4799,www.captainlarrys.com/cms,OPEN,,,,,,,,,,https://squareup.com/gift/MC1DN9MAK8X3A/order?fbclid=IwAR2W8rUCIOqKNR51tpCvliT_KDFfm-ykjsaCcZR-pwsVhadPPOrzNgL1Fm0,,3/18/20,39.2727331,-76.6049674
27,Ceremony Coffee Roasters,Cross Street Market,(443) 708-5284,https://ceremonycoffee.com/location/cross-street-market/?fbclid=IwAR2GGVLHHWofWJUc15A4Vr4iqj0W6lpumGmaKUe4Y37iulg972B92_GJeFw,OPEN,https://apps.apple.com/us/app/ceremony-coffee/id1443970019,X,X,,,,,,X,X,,3/18/20,39.2768086,-76.6133302
28,ChaTime,1114 Light Street,(410) 500-8695,https://www.chatimemd.com/,OPEN,,,X,,X,,,X,,,,3/18/20,39.2763973,-76.6125787
29,Checkerspot Brewing Company,1399 Sharp St,(443) 388-8912,https://www.checkerspotbrewing.com/,OPEN,www.checkerspotbrewing.com/shop,X,,X,,,,,,,,3/18/20,39.275286,-76.620089
30,Cheese Galore & More,1125 S Charles St,(410) 244-5515,www.cheesegaloreandmore.com,OPEN,,X,X,,,,,,,,,3/18/20,39.2760798,-76.6140636
31,City Limits,1700 E Fort Ave,(410) 244-8084,http://citylimitssportsbar.com/,OPEN,,X,X,,,,,,,,,3/18/20,39.2681999,-76.590831
32,Clean Juice,1706 Whetstone Way,(443) 438-4669,https://cleanjuice.com/locations/locust-point/,OPEN,,X,X,X,,,,,https://rallyforrestaurants.com/,,,3/18/20,39.2688194,-76.6000299
33,Crossbar,18 E Cross St,(443) 438-4013,https://www.crossbarbaltimore.com,CLOSED,,,,,,,,,,,,3/18/20,39.2771031,-76.6136933
34,Damascus Shawarma ,1038 Light St. ,(443) 449-5722,https://newshamllc.com,OPEN,https://order.partake7.com/damascusshawarma,x,x,,,,,,,,,,39.2772746,-76.6126344
35,Damascus Shawarma ,1038 Light St,(443) 531-7816,https://newshamllc.com/,,https://order.partake7.com/damascusshawarma,,,,,,,,,,,3/18/20,39.2772746,-76.6126344
36,Delia Foleys,1439 S Charles St,(443) 682-9141,http://deliafoleys.pub,OPEN,,X,,,,,,,,,,3/18/20,39.2727569,-76.6138175
37,Dessert Fantasies,1433 E Fort Ave,(443) 708-1349,www.dessertfantasies.net,OPEN,,X,X,X,,,,,,,,3/18/20,39.2689586,-76.5942155
38,Diablo Doughnuts,1035 Light St,(410) 892-3251,https://diablo-doughnuts.wixsite.com/410dough/,CLOSED,,,,,,,,,,https://squareup.com/gift/AZ74T3FKT1S5Y/order?fbclid=IwAR1SorrRGaGT0vIux6IDOfwYbY9ELP3dxagL1ICuU_qDRN0Rqc199BZh0Cg,,3/18/20,39.2775306,-76.6120872
39,Diamondback Brewing Company,1215 E Fort Ave,(443) 388-9626,https://www.diamondbackbeer.com/,OPEN,https://www.toasttab.com/diamondback-beer/v2/online-order#!/,X,,X,X,,,,https://rallyforrestaurants.com/,https://www.diamondbackbeer.com/store/dbc-gift-cards,,3/18/20,39.2687506,-76.5974015
40,DiPasquales,500 Harborview Drive,(443) 963-1872,https://www.dipasquales.com/,OPEN,,X,X,X,,,,,,,,3/18/20,39.281539,-76.607701
41,Dominos Pizza,1235 Light St,(410) 752-3030,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,OPEN,https://www.dominos.com/en/pages/order/#!/locations/search/?type=Delivery,,,X,,,,,,,,3/18/20,39.2752126,-76.6119366
42,Dont Know Tavern,1453 Light St,(410) 539-0231,https://dontknowtavern.com/,OPEN,,X,X,,,X,,,,,,3/18/20,39.2729677,-76.611585
43,Dunkin Donuts,1100 Light St. ,(410) 545-0522,https://www.dunkindonuts.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=345593,OPEN,,,,,,,,,,,,3/18/20,39.2765753,-76.6124197
44,Dunkin Donuts,1615 Whetstone Way ,(443) 438-7329,https://www.dunkindonuts.com/en?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=347844,OPEN,,,,,,,,,,,,3/18/20,39.2689772,-76.5997227
45,Fenwicks Choice Meats,1065 S Charles St,(410) 547-1777,https://www.crossstmarket.com/vendors/fenwicks-choice-meats/,OPEN,,X,,,,,,,,,,3/18/20,39.2768086,-76.6133302
46,Formula Espresso Harbor Court,550 Light St,(410) 234-0550,https://www.sonesta.com/us/maryland/baltimore/royal-sonesta-harbor-court-baltimore/formula-espresso,,,,,,,X,,,,,,3/18/20,39.2826865,-76.6141127
47,Gangster Vegan,1065 S Charles St,(410) 617-8903,https://www.gangstervegan.com/,OPEN,,X,,X,,,,X,,,,3/18/20,39.2768086,-76.6133302
48,Garden Restaurant,1501 Light St,(410) 986-3010,http://places.singleplatform.com/garden-restaurant-and-lounge/menu?ref=google,OPEN,https://www.grubhub.com/restaurant/garden-american-eatery-1501-light-st-baltimore/315128,,,,,X,,,,,,3/18/20,39.2726254,-76.6116439
49,Hair of the Dog,1649 S Hanover Street,(410) 814-0342,https://hairofthedogbaltimore.com/,OPEN,,X,,X,,X,,,,,Delivering beer/wine/liquor from 5 PM to 12 AM daily,3/19/20,39.2705803,-76.6148897
50,Hanover & Hughes Collective,15 W Hughes St,(410) 948-4470,https://www.hanoverandhughes.com/,OPEN,,,X,,,,,,,,,3/18/20,39.2803529,-76.6148974
51,Hershs,1843-45 Light St,(443) 438-4948,https://hershs.com/,OPEN,Order by phone,,,,,,,,,,"We'll offer food, beer, wine and canned cocktails. Orders are by phone only at 443-438-4948.",3/18/20,39.269094,-76.6117252
52,Hilltop,600 E Fort Ave,(410) 752-1971,https://hilltopcarryout.com/,OPEN,,X,X,,,X,,,,,,3/18/20,39.2731435,-76.6051364
53,Himalayan Bistro,1030 Light St,(443) 708-3157,https://www.grubhub.com/restaurant/himalayan-bistro-1030-light-st-baltimore/327680,OPEN,,,,,,,,,,,,3/18/20,39.2775136,-76.6127693
54,Himalayan House,1522 E Fort Ave,(410) 528-1271,https://www.thehimalayanhouse.com/,OPEN,https://www.thehimalayanhouse.com/online-order/,X,X,,,X,,,,,,3/18/20,39.2689616,-76.5930327
55,Home Maid,1400 Key Highway,(443) 759-8033,https://www.homemaidbrunch.com/,OPEN,,X,,,,,,,,,,3/18/20,39.2736899,-76.6031947
56,HomeSlyce,1741 Light Street,(443) 501-4000,http://www.homeslyce.com/order-online,OPEN,,,,X,,,,,https://rallyforrestaurants.com/,,,3/18/20,39.2696849,-76.611489
57,Hull Street Blues Cafe,1222 Hull St,(410) 727-7476,http://places.singleplatform.com/hull-st-blues/menu?ref=google#menu_3731175,OPEN,,X,X,,,X,,X,,,,3/18/20,39.2722843,-76.5921086
58,Illusions Magic Bar & Theater,1025 S Charles Street,(401)932-2489,https://www.illusionsmagicbar.com/,CLOSED,,,,,,,,,,X,,3/18/20,39.2775916,-76.6140859
59,In Like Flynn,1371 Andre St,(667) 303-3681,www.inlikeflynn.net,OPEN,,X,,,X,,,,,,,3/18/20,39.2694423,-76.5900114
60,Insomnia Cookies,1059 S Charles St,(410) 469-8752,https://insomniacookies.com/locations/store/1132,OPEN,https://insomniacookies.com/order,,,X,,,,,,,,3/18/20,39.2769772,-76.6141497
61,Iron Rooster,1606 Whetstone Way,(443) 708-7935,https://www.ironroosterallday.com/,OPEN,,X,,,,,,,,,,3/18/20,39.269483,-76.599742
62,Jacks Market & Carryout,1801 Light St,(410) 685-5076,https://www.facebook.com/pages/category/American-Restaurant/Jacks-Carry-Out-1585486555045767/,OPEN,,,,,,,,,,,,3/18/20,39.2694176,-76.6115782
63,Jazz + Soju,900 E Fort Ave,(410) 244-8600,https://www.jazzsoju.com/?fbclid=IwAR2UiNSITzJH9AMwwBi7CyKwm6g-lqC6yZ8xdg8cBuMOks_8cT0BGC_NuMs,OPEN,,X,X,,,X,,X,,,,3/18/20,39.271781,-76.6006826
64,Jimmy Johns,1723 Whetstone Way,(410) 685-1999,https://locations.jimmyjohns.com/md/baltimore/sandwiches-1909.html,OPEN,,,,,,,,,,,,3/18/20,39.2689772,-76.5997227
65,Kiku Sushi,1017 Light St,(410) 468-4468,https://www.facebook.com/pages/Kiku-Sushi-Restaurant/111581578880741,OPEN,,,,,,,,,,,,3/18/20,39.2778685,-76.6122864
66,Koba Cafe,644 E Fort Ave,(410) 986-0366,https://www.kobacafe.co/,OPEN,,,,,,,,,,,,3/18/20,39.2727565,-76.6041455
67,Kumari,847 E Fort Ave,(410) 216-1447,http://www.kumarirestaurant.net/,OPEN,http://www.kumarirestaurant.net/online-order/,X,X,X,,,,,,,,3/18/20,39.2702483,-76.6020362
68,La Reyna,1101 Light St,(443) 759-4193,http://orderelpolloreal.com/,,https://themenustar1.com/webspace/menus.php?code=orderelpolloreal.com,,,,,,,,,,,3/18/20,39.2769682,-76.612127
69,Ledos,913 E Fort Ave,(410) 528-8494,https://order.ledopizza.com/menu/ledo-pizza-federal-hill,OPEN,https://order.ledopizza.com/menu/ledo-pizza-federal-hill,X,X,,,,,,,,,3/18/20,39.2707721,-76.6017662
70,Light Street Cafe,1121 Light St,(443) 682-8246,http://lightstreetcafe.com/,OPEN,Call to place order,X,,,,,,,,,,3/18/20,39.2765227,-76.6120295
71,Limoncello,900 E Fort Ave,(443) 708-1540,www.limoncellobaltimore.com,CLOSED,,,,,,,,,,,,3/18/20,39.271781,-76.6006826
72,Little Havana,1325 Key Highway,(410) 837-9903,https://www.littlehavanas.com/,OPEN,,X,X,,,,,,,,Liquor/beer/wine only,3/18/20,39.2747839,-76.6029707
73,LP Steamers,1100 E Fort Ave,(410) 576-9294,https://www.locustpointsteamers.com/,OPEN,,X,X,X,,,X,,,X,Hours are 11-9 ...have takeout beer and wine too,3/18/20,39.2709517,-76.5986134
74,Lucky Fortune,1116 Light St,(410) 231-7512,https://www.luckyfortunebaltimore.com/?fbclid=IwAR0r1HOCoszHmCjQ4kzPA_y6-WpSrq-uXwIiOy8PdfvJuRMimGfXOyjVoDg,OPEN,https://www.beyondmenu.com/21716/baltimore/lucky-fortune-baltimore-21230.aspx?utm_source=satellite&utm_medium=menu_btn_order&pk_vid=800d4877eedb646b158453836771ee6a,X,X,,,,,,,,,3/18/20,39.2763796,-76.612461
75,Machados,201 E. Heath St. ,(410) 347-1286,https://machados-mini-mart.business.site/,OPEN,,,,,,,,,,,,3/18/20,39.2704878,-76.6105477
76,MaGerks,1061 S Charles St,(410) 576-9230,www.magerks.com,CLOSED,,,,,,,,,,,,3/18/20,39.2769342,-76.6141476
77,Maria Ds,1016 Light St,(410) 727-5430,https://www.maria-ds.com/,OPEN,https://mariads.foodtecsolutions.com/ordering/intro,X,X,X,,,,,,,,3/18/20,39.2778331,-76.6127262
78,Matsuri,1105 S Charles St,(410) 752-8561,www.matsuri.us,OPEN,,X,X,X,,X,,X,,,,3/18/20,39.2765067,-76.6141387
79,McDonalds,825 E. Fort Ave. ,(410) 385-5364,https://www.mcdonalds.com/us/en-us/location/md/baltimore/825-east-fort-avenue/11851.html?cid=RF:YXT:GMB::Clicks,OPEN,,,,,,,,,,,,3/18/20,39.2716203,-76.6021251
80,Mi & Yu,1016 S Charles St,(443) 388-9295,www.miandyunoodlebar.com,OPEN,,X,X,,X,,X,X,,,,3/18/20,39.2774428,-76.6146567
81,Midnite Confections,1051 S Charles St,(410) 727-1010,www.midniteconfection.com,OPEN,,X,X,X,,X,X,,,X,,3/18/20,39.2771292,-76.6141616
82,Mikies,210 E Fort Ave,(410) 332-1966,www.mikiespizzasubs.com,OPEN,http://mikiespizzasubs.com/order.html,X,X,X,,,,,,,,3/18/20,39.272884,-76.6096869
83,Mothers,1113 S Charles St,(410) 244-8686,https://www.mothersgrille.com/,CLOSED,,,,,,X,,,,,,3/18/20,39.2763693,-76.6141158
84,Muirs,36 E Fort Ave,(410) 385-0344,https://www.facebook.com/pages/category/Pub/Muirs-Tavern-287318201430213/,,,,,,,,,,,,,3/18/20,39.2728707,-76.6124345
85,Nicks Fish House,2600 Insulator Dr. ,(410) 347-4123,https://nicksfishhouse.com/,CLOSED,,,,,,,,,,,,3/18/20,39.2606119,-76.6135738
86,Nobles,1024 S Charles St,(410) 727-1355,https://www.noblesbarandgrill.com/,,,,,,,,,,,,,3/18/20,39.2772781,-76.6146811
87,One-Star Country Club,38 E Cross St,(410) 727-5102,www.onestarcountryclub.com,,,,,,,,,,,,,3/18/20,39.2771506,-76.6130876
88,Ono Poke,Cross Street Market,(667) 309-3584,https://www.onopokemd.com/,CLOSED,,,,,,,,,,,,3/18/20,39.2768086,-76.6133302
89,Order & Chaos,1410 Key Highway,(410) 244-1111,https://www.orderchaoscoffee.com/,CLOSED,,,,,,,,,,,,3/18/20,39.2735561,-76.6028515
90,Papa Johns,1200 S Hanover St,(410) 783-7272,https://locations.papajohns.com/united-states/md/21230-3720/baltimore/1200-south-hanover-street,OPEN,https://www.papajohns.com/order/stores-near-me?searchType=DELIVERY,,,X,,,,,,,,3/18/20,39.275142,-76.615545
91,Park Bench,1749 Belt Street,(443) 708-4190,https://www.parkbenchpubriverside.com/,OPEN,,,,,,,,,,,,3/18/20,39.2698683,-76.605448
92,Phubs,1065 S Charles St,,https://eatphubs.com/menu-cross-st,OPEN,https://eatphubs.com/menu-cross-st,X,,,,,,,https://rallyforrestaurants.com/,,,3/18/20,39.2768086,-76.6133302
93,Pizza Bolis,13 E Cross St,(410) 752-1500,https://www.pizzabolis.com/locations/federal-hill/,OPEN,https://pizzabolis-ecrossst.foodtecsolutions.com/menu?_ga=2.59325805.1515886055.1584540436-1397921976.1584540436,X,X,X,,,,,,,,3/18/20,39.2764882,-76.6136988
94,Pizza Di Joey,Cross Street Market,(443) 869-2339,https://pizzadijoey.com/,OPEN,https://pizzadijoey.square.site/,X,X,,,,,,,,,3/18/20,39.2768086,-76.6133302
95,Pizza Palace,1538 Light St. ,(443) 244-0444,https://www.pizzapalacebaltimore.com,OPEN,https://www.pizzapalacebaltimore.com/,X,,,,,,,,,,3/18/20,39.2718436,-76.6118208
96,PokeBowl,1040 Light St,(443) 759-6229,http://www.pokebowlmd.com/,CLOSED,https://order.menusifu.com/poke-bowl-baltimore-restaurant#/store,,,,,,,,,,,3/18/20,39.2772287,-76.6126003
97,PokeOno,849 E. Fort Ave. ,(667) 309-3849,https://pokeono.com/,OPEN,https://pokeono.com,X,,,,,,,,,,3/18/20,39.2710586,-76.6029195
98,Pop Tacos,17 E Cross St,(443) 835-2489,http://places.singleplatform.com/pop-tacos/menu?ref=google,OPEN,,,,,,,,,,,,3/18/20,39.2765002,-76.6135809
99,Pub Dog,20 E. Cross St. ,Ê(410) 727-6077,https://pubdog.com,CLOSED,https://pubdog.com/order-online/,,,,,,,,,,,3/18/20,39.2770352,-76.6135349
100,Pure Raw Juice,1401 Riverside Ave. ,(410) 659-6298,https://www.purerawjuice.com/,OPEN,https://prjfed-catering.hrpos.heartland.us,X,,,,,,,,,,3/18/20,39.2741884,-76.6084626
101,Rice Crook,Cross Street Market,(443) 708-8408,https://www.ricecrook.com,CLOSED,https://www.ricecrook.com/order,,,,,,,,,,,3/18/20,39.2768086,-76.6133302
102,Rooster & Hen,Cross Street Market,(301) 910-1669,https://www.roosterandhenmarket.com/,OPEN,,X,,,X,,,,,,,3/18/20,39.2768086,-76.6133302
103,Ropewalk,1209 S Charles St,(410) 727-1298,https://baltimore.ropewalk.com/,CLOSED,,,,,,,,,,,,3/18/20,39.2754705,-76.6140827
104,Royal Farms,1440 E. Key Hwy. ,(410) 387-4340,https://www.royalfarms.com,OPEN,,,,,,,,,,,,3/18/20,39.2730321,-76.6004868
105,Royal Farms,Cross Street Market ,(443) 529-0101,https://www.royalfarms.com,CLOSED,,,,,,,,,,,,3/18/20,39.2768086,-76.6133302
106,Rubens,1043 S. Charles St. ,(443) 228-2800,https://www.rubensbmore.com/,OPEN,https://www.rubensbmore.com/online-ordering,X,,X,,,,,,,,3/18/20,39.2772798,-76.6141816
107,Rusty Scupper,402 Key Hwy,(410) 727-3678,http://www.rusty-scupper.com/,OPEN,,X,X,,,,,,,,,3/18/20,39.2821538,-76.6073458
108,Rye Street Tavern,13 Rye St.,,http://www.ryestreettavern.com,CLOSED,,,,,,,,,,X,,3/18/20,39.340759,-76.628307
109,Ryleighs,36 E Cross St,(410) 539-2093,https://www.ryleighs.com/,OPEN,,X,,X,,X,,,,,,3/18/20,39.2770795,-76.6131576
110,Sams Bagels,915 Light St. ,(410) 837-5447,https://www.facebook.com/pages/Sams-Bagels/113626648670248,OPEN,,,,,,,,,,,,3/18/20,39.2783173,-76.6124081
111,Samos,1703 Whetstone Way,(410) 244-1714,https://www.samosgreekislandgrill.com,OPEN,https://www.samosgreekislandgrill.com/online-ordering,,,,,,,,,,,3/18/20,39.2684803,-76.6003323
112,Schaefers Bar & Grill,121 W Randall St,(410) 752-1680,https://www.facebook.com/Schaeffers-Sports-Bar-560959770714792/?ref=br_rs,CLOSED,,,,,,,,,,,,3/18/20,39.2713147,-76.6161255
113,Serenity Wine Bar,1121 Hull St. ,(443) 708-0392,"
https://serenitywinecafe.com",OPEN,,X,,,,,,,,,,3/18/20,39.2731122,-76.5910909
114,Shottis,701 E. Fort Ave. ,(443) 759-6497,http://www.shottispoint.com/,OPEN,,X,X,,,,,,,,,3/18/20,39.2723858,-76.6040458
115,Shoyou Sushi,1450 Light St,(410) 685-2989,https://www.sushibruce.com/,OPEN,,X,X,,,,,,,,,3/18/20,39.272901,-76.6119617
116,Smoothie King,851 E Fort Ave,(410) 440-4290,https://locations.smoothieking.com/ll/US/MD/Baltimore/851-East-Fort-Ave_,OPEN,,X,X,,,,,,,,,3/18/20,39.271805,-76.6020102
117,Sobeachy,1065 S Charles St,(410) 624-5338,https://www.sobeachyhaitiancuisine.com/,OPEN,,X,,,,,,,,,,3/18/20,39.2768086,-76.6133302
118,SoBo Cafe,6-8 W Cross St,(410) 752-1518,http://sobocafe.net/,OPEN,,X,,,X,X,,X,,,,3/18/20,39.2768925,-76.6146845
119,SoBo Market,13 E. Randall St. ,(410) 685-6605,https://sobomarket.com,OPEN,https://www.grubhub.com/restaurant/sobo-market-13-e-randall-st-baltimore/482999,X,,,,,,,,,,3/18/20,39.2714909,-76.6135746
120,Social Pub,25 E. Cross St. ,,,CLOSED,,,,,,,,,https://rallyforrestaurants.com/,,,3/18/20,39.2765253,-76.6133565
121,Southside Burger Bar,1065 S Charles St,(443) 388-8321,https://www.southsideburgerbar.com,CLOSED ,https://www.grubhub.com/restaurant/southside-burger-bar-1065-s-charles-st-baltimore/1447188,,,,,,,,,,,3/18/20,39.2768086,-76.6133302
122,Southside Diner,893 E Fort Ave,(410) 727-7067,https://www.eatatsouthside.com/,CLOSED,https://www.eatatsouthside.com/orderonline,,,,X,X,,,,,,3/18/20,39.2716685,-76.6016277
123,Southside Saloon,430 E. Fort Ave. ,(410) 547-9995,https://www.facebook.com/Stu1104/,OPEN,,,X,,,,,,,,,3/18/20,39.2729763,-76.6074137
124,Spoons Cafe,24 E. Cross St. ,(410) 996-4712,https://www.spoonsbaltimore.com,OPEN,https://www.spoonsbaltimore.com/order-online/,X,,,,,,X,https://rallyforrestaurants.com/,,10% off all pickup orders ,3/19/20,39.2770171,-76.6134377
125,Stalking Horse,26 E. Cross St. ,(410) 244-6722,https://stalkinghorsebar.com,CLOSED,,,,,,,,,,,,3/18/20,39.2770956,-76.613387
126,Starbucks,919 E. Fort Ave,(410) 244-1934,https://www.starbucks.com/store-locator/store/70102/southside-marketplace-919-e-fort-ave-baltimore-md-212304764-us,OPEN,,,,,,,,,,,,3/18/20,39.2714049,-76.6011907
127,Starbucks,1801 Whetstone Way,(410) 528-8484,https://www.starbucks.com/store-locator/store/1014634/harris-teeter-baltimore-376-1801-whetstone-way-baltimore-md-21230-us,OPEN,,,,,,,,,,,,3/18/20,39.2676332,-76.5998124
128,Steves Lunch,1065 S Charles St,(410) 385-2273,,CLOSED,,,,,,,,,,,,3/18/20,39.2768086,-76.6133302
129,Subway,200 E Lexington,(410) 752-7772,https://www.subway.com/en-US/FindAStore,OPEN,X,X,,,,,,,,,,3/18/20,39.291207,-76.612479
130,Sun Hing Chinese Food Carryout,1451 Light St,(410) 837-8482,https://www.sunhingtogo.com/,OPEN,sunhingtogo.com,X,,X,X,X,X,X,,,,3/18/20,39.2730154,-76.6116085
131,Tabrizis,500 Harborview Dr,(410) 727-3663,https://www.tabrizis.com/,CLOSED,doordash.com,,,,X,,,,,,,3/18/20,39.281539,-76.607701
132,Taco Love Grill,1065 S Charles St,(443) 869-3400,https://www.tacolovegrill.com/,OPEN,www.toasttab.com,X,,,,,,,,X,,3/18/20,39.2768086,-76.6133302
133,Thai Arroy,1019 Light St,(410) 385-8587,https://www.thaiarroy-bt.com/,OPEN,thaiarroy-bt.com,X,X,X,,X,,,X,,,3/18/20,39.2778206,-76.6122795
134,The Charles,1110 S Charles St,(410) 727-2333,https://thecharlesbaltimore.com/,CLOSED,,,,,,,,,,X,,3/18/20,39.2764401,-76.6145427
135,The Outpost American Tavern,1032 Riverside Ave,(443) 388-9113,http://theoutpostbaltimore.com/,OPEN,grubhub.com,X,,X,,X,X,,,X,,3/18/20,39.2774391,-76.609268
136,The Port Public House,1229 Hull Street,(410) 244-6442,https://www.theportpublichouse.com/,,,,,,,,,,,,,3/18/20,39.2720002,-76.5918007
137,The Sweet Shoppe,Cross Street Market,(443) 388-9624,https://www.crossstmarket.com/vendors/the-sweet-shoppe/,CLOSED,,,,,,,,,,,,3/18/20,39.2768086,-76.6133302
138,The Urban Oyster,1704 Whetstone Way,(443) 948-5898,https://www.theurbanoyster.com/,OPEN,,X,,X,X,X,,X,,,,3/18/20,39.2689185,-76.599973
139,Tinybrickoven,1036 Light St,(443) 627-8277,http://tinybrickoven.com/,OPEN,postmates,X,,X,,,,,,,,3/18/20,39.2773159,-76.6126284
140,Ultimate Pizza,29 E Cross St,(410) 385-2131,http://orderultimatepizza.com/,OPEN,,X,,X,,X,,X,,,,3/18/20,39.2765378,-76.6132449
141,Urban Deli,1025 Light St,(443) 708-0495,https://www.urbandelibmore.com/,OPEN,,X,,X,,,,,,,,3/18/20,39.2777261,-76.6122379
142,Utsuke Ramen,414 Light St #103,(443) 563-2977,https://www.ramenutsuke.com/,OPEN,,X,,X,,X,,,,,,3/18/20,39.283756,-76.6139857
143,Wayward,1117 S Charles St,(410) 223-2269,http://www.waywardsmoke.com/,CLOSED,,,,,,,,,https://www.toasttab.com/wayward-smoke-house/giftcards,,,3/18/20,39.2762599,-76.6139996
