Business_Name,Address,Phone Number,Website,Status,Online Ordering,Pick-Up,Walk-Up,Delivery,Doordash,Grubhub,Postmates,Ubereats,E-Gift Cards,Gift Cards,"Notes (i.e. modified hours, special offerings, etc. )",Last Updated
Bookmakers,31 E Cross St,(443) 438-4039,www.bookmakersbaltimore.com,,,,,,,,,,https://rallyforrestaurants.com/,,,3/18/20
BRD,1104 S Charles St,(664) 210-2222,https://www.eatbrd.com/,OPEN,,,X,,,,,,,,,3/18/20
Brendali Italian Ristorante,1022 Light Street,(410) 800-2485,http://brendaliitalianristorante.godaddysites.com/?fbclid=IwAR26Z65beQp5GV_4CGYYb8S_BY-Z6ubr364TQFbhob21nNbvPZZ5XK63qHM,OPEN,,X,X,X,,,,,,,,3/18/20
Brewers Cask,1236 Light St,(410) 273-9377,www.brewerscask.com,OPEN,,,,,,X,,X,,,,3/19/20
Brother Sushi,1035 S Charles St,(410) 891-2886,http://brotherssushi.com/,,,,,,,X,,,,,,3/18/20
Byblos,1033 Light St,(410) 209-2495,bybloslebanesecuisine.com,OPEN,,X,X,,,,,,,,,3/18/20
Cans Filling Station,1065 S Charles St,(484) 998-8227,https://www.crossstmarket.com/vendors/cans-fill-station/,OPEN,https://thecansclub.square.site/,X,,,,,,,X,X,,3/18/20
Captain Larrys,601 E Fort Ave,(410) 727-4799,www.captainlarrys.com/cms,OPEN,,,,,,,,,,https://squareup.com/gift/MC1DN9MAK8X3A/order?fbclid=IwAR2W8rUCIOqKNR51tpCvliT_KDFfm-ykjsaCcZR-pwsVhadPPOrzNgL1Fm0,,3/18/20
Ceremony Coffee Roasters,Cross Street Market,(443) 708-5284,https://ceremonycoffee.com/location/cross-street-market/?fbclid=IwAR2GGVLHHWofWJUc15A4Vr4iqj0W6lpumGmaKUe4Y37iulg972B92_GJeFw,OPEN,https://apps.apple.com/us/app/ceremony-coffee/id1443970019,X,X,,,,,,X,X,,3/18/20
ChaTime,1114 Light Street,(410) 500-8695,www.chatimemd.com,OPEN,,,X,,X,,,X,,,,3/18/20
Checkerspot Brewing Company,1399 Sharp St,(443) 388-8912,https://www.checkerspotbrewing.com/,OPEN,www.checkerspotbrewing.com/shop,X,,X,,,,,,,,3/18/20
Cheese Galore & More,1125 S Charles St,(410) 244-5515,www.cheesegaloreandmore.com,OPEN,,X,X,,,,,,,,,3/18/20
City Limits,1700 E Fort Ave,(410) 244-8084,http://citylimitssportsbar.com/,OPEN,,X,X,,,,,,,,,3/18/20
Clean Juice,1706 Whetstone Way,(443) 438-4669,https://cleanjuice.com/locations/locust-point/,OPEN,,X,X,X,,,,,https://rallyforrestaurants.com/,,,3/18/20
Crossbar,18 E Cross St,(443) 438-4013,https://www.crossbarbaltimore.com,CLOSED,,,,,,,,,,,,3/18/20
Damascus Shawarma ,1038 Light St. ,(443) 449-5722,https://newshamllc.com,OPEN,https://order.partake7.com/damascusshawarma,x,x,,,,,,,,,
Damascus Shawarma ,1038 Light St,(443) 531-7816,https://newshamllc.com/,,https://order.partake7.com/damascusshawarma,,,,,,,,,,,3/18/20
Delia Foleys,1439 S Charles St,(443) 682-9141,http://deliafoleys.pub,OPEN,,X,,,,,,,,,,3/18/20
Dessert Fantasies,1433 E Fort Ave,(443) 708-1349,www.dessertfantasies.net,OPEN,,X,X,X,,,,,,,,3/18/20
Diablo Doughnuts,1035 Light St,(410) 892-3251,410dough.com,CLOSED,,,,,,,,,,https://squareup.com/gift/AZ74T3FKT1S5Y/order?fbclid=IwAR1SorrRGaGT0vIux6IDOfwYbY9ELP3dxagL1ICuU_qDRN0Rqc199BZh0Cg,,3/18/20
Diamondback Brewing Company,1215 E Fort Ave,(443) 388-9626,www.diamondbackbeer.com,OPEN,https://www.toasttab.com/diamondback-beer/v2/online-order#!/,X,,X,X,,,,https://rallyforrestaurants.com/,https://www.diamondbackbeer.com/store/dbc-gift-cards,,3/18/20
DiPasquales,500 Harborview Drive,(443) 963-1872,www.dipasquales.com,OPEN,,X,X,X,,,,,,,,3/18/20
Dominos Pizza,1235 Light St,(410) 752-3030,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,OPEN,https://www.dominos.com/en/pages/order/#!/locations/search/?type=Delivery,,,X,,,,,,,,3/18/20
Dont Know Tavern,1453 Light St,(410) 539-0231,www.dontknowtavern.com,OPEN,,X,X,,,X,,,,,,3/18/20
Dunkin Donuts,1100 Light St. ,(410) 545-0522,https://www.dunkindonuts.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=345593,OPEN,,,,,,,,,,,,3/18/20
Dunkin Donuts,1615 Whetstone Way ,(443) 438-7329,https://www.dunkindonuts.com/en?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=347844,OPEN,,,,,,,,,,,,3/18/20
Fenwicks Choice Meats,1065 S Charles St,(410) 547-1777,https://www.crossstmarket.com/vendors/fenwicks-choice-meats/,OPEN,,X,,,,,,,,,,3/18/20
Formula Espresso Harbor Court,550 Light St,(410) 234-0550,https://www.sonesta.com/us/maryland/baltimore/royal-sonesta-harbor-court-baltimore/formula-espresso,,,,,,,X,,,,,,3/18/20
Gangster Vegan,1065 S Charles St,(410) 617-8903,https://www.gangstervegan.com/,OPEN,,X,,X,,,,X,,,,3/18/20
Garden Restaurant,1501 Light St,(410) 986-3010,http://places.singleplatform.com/garden-restaurant-and-lounge/menu?ref=google,OPEN,https://www.grubhub.com/restaurant/garden-american-eatery-1501-light-st-baltimore/315128,,,,,X,,,,,,3/18/20
Hair of the Dog,1649 S Hanover Street,(410) 814-0342,www.hairofthedogbaltimore.com,OPEN,,X,,X,,X,,,,,Delivering beer/wine/liquor from 5 PM to 12 AM daily,3/19/20
Hanover & Hughes Collective,15 W Hughes St,(410) 948-4470,www.hanoverandhughes.com,OPEN,,,X,,,,,,,,,3/18/20
Hershs,1843-45 Light St,(443) 438-4948,www.hershs.com,OPEN,Order by phone,,,,,,,,,,"We'll offer food, beer, wine and canned cocktails. Orders are by phone only at 443-438-4948.",3/18/20
Hilltop,600 E Fort Ave,(410) 752-1971,WWW.HILLTOPCARRYOUT.COM,OPEN,,X,X,,,X,,,,,,3/18/20
Himalayan Bistro,1030 Light St,(443) 708-3157,bistrohimalayan.com,OPEN,,,,,,,,,,,,3/18/20
Himalayan House,1522 E Fort Ave,(410) 528-1271,www.thehimalayanhouse.com,OPEN,https://www.thehimalayanhouse.com/online-order/,X,X,,,X,,,,,,3/18/20
Home Maid,1400 Key Highway,(443) 759-8033,www.homemaidbrunch.com,OPEN,,X,,,,,,,,,,3/18/20
HomeSlyce,1741 Light Street,(443) 501-4000,http://www.homeslyce.com/order-online,OPEN,,,,X,,,,,https://rallyforrestaurants.com/,,,3/18/20
Hull Street Blues Café,1222 Hull St,(410) 727-7476,http://places.singleplatform.com/hull-st-blues/menu?ref=google#menu_3731175,OPEN,,X,X,,,X,,X,,,,3/18/20
Illusions Magic Bar & Theater,1025 S Charles Street,(401)932-2489,illusionsmagicbar.com,CLOSED,,,,,,,,,,X,,3/18/20
In Like Flynn,1371 Andre St,(667) 303-3681,www.inlikeflynn.net,OPEN,,X,,,X,,,,,,,3/18/20
Insomnia Cookies,1059 S Charles St,(410) 469-8752,https://insomniacookies.com/locations/store/1132,OPEN,https://insomniacookies.com/order,,,X,,,,,,,,3/18/20
Iron Rooster,1606 Whetstone Way,(443) 708-7935,https://www.ironroosterallday.com/,OPEN,,X,,,,,,,,,,3/18/20
Jacks Market & Carryout,1801 Light St,(410) 685-5076,https://www.facebook.com/pages/category/American-Restaurant/Jacks-Carry-Out-1585486555045767/,OPEN,,,,,,,,,,,,3/18/20
Jazz + Soju,900 E Fort Ave,(410) 244-8600,https://www.jazzsoju.com/?fbclid=IwAR2UiNSITzJH9AMwwBi7CyKwm6g-lqC6yZ8xdg8cBuMOks_8cT0BGC_NuMs,OPEN,,X,X,,,X,,X,,,,3/18/20
Jimmy Johns,1723 Whetstone Way,(410) 685-1999,https://locations.jimmyjohns.com/md/baltimore/sandwiches-1909.html,OPEN,,,,,,,,,,,,3/18/20
Kiku Sushi,1017 Light St,(410) 468-4468,https://www.facebook.com/pages/Kiku-Sushi-Restaurant/111581578880741,OPEN,,,,,,,,,,,,3/18/20
Koba Cafe,644 E Fort Ave,(410) 986-0366,www.kobacafe.co,OPEN,,,,,,,,,,,,3/18/20
Kumari,847 E Fort Ave,(410) 216-1447,http://www.kumarirestaurant.net/,OPEN,http://www.kumarirestaurant.net/online-order/,X,X,X,,,,,,,,3/18/20
La Reyna,1101 Light St,(443) 759-4193,http://orderelpolloreal.com/,,https://themenustar1.com/webspace/menus.php?code=orderelpolloreal.com,,,,,,,,,,,3/18/20
Ledos,913 E Fort Ave,(410) 528-8494,https://order.ledopizza.com/menu/ledo-pizza-federal-hill,OPEN,https://order.ledopizza.com/menu/ledo-pizza-federal-hill,X,X,,,,,,,,,3/18/20
Light Street Cafe,1121 Light St,(443) 682-8246,http://lightstreetcafe.com/,OPEN,Call to place order,X,,,,,,,,,,3/18/20
Limoncello,900 E Fort Ave,(443) 708-1540,limoncellobaltimore.com,CLOSED,,,,,,,,,,,,3/18/20
Little Havana,1325 Key Highway,(410) 837-9903,www.littlehavanas.com,OPEN,,X,X,,,,,,,,Liquor/beer/wine only,3/18/20
LP Steamers,1100 E Fort Ave,(410) 576-9294,www.locustpointsteamers.com,OPEN,,X,X,X,,,X,,,X,Hours are 11-9 ...have takeout beer and wine too,3/18/20
Lucky Fortune,1116 Light St,(410) 231-7512,https://www.luckyfortunebaltimore.com/?fbclid=IwAR0r1HOCoszHmCjQ4kzPA_y6-WpSrq-uXwIiOy8PdfvJuRMimGfXOyjVoDg,OPEN,https://www.beyondmenu.com/21716/baltimore/lucky-fortune-baltimore-21230.aspx?utm_source=satellite&utm_medium=menu_btn_order&pk_vid=800d4877eedb646b158453836771ee6a,X,X,,,,,,,,,3/18/20
Machados,201 E. Heath St. ,(410) 347-1286,https://machados-mini-mart.business.site/,OPEN,,,,,,,,,,,,3/18/20
MaGerks,1061 S Charles St,(410) 576-9230,www.magerks.com,CLOSED,,,,,,,,,,,,3/18/20
Maria Ds,1016 Light St,(410) 727-5430,www.maria-ds.com,OPEN,https://mariads.foodtecsolutions.com/ordering/intro,X,X,X,,,,,,,,3/18/20
Matsuri,1105 S Charles St,(410) 752-8561,www.matsuri.us,OPEN,,X,X,X,,X,,X,,,,3/18/20
McDonalds,825 E. Fort Ave. ,(410) 385-5364,https://www.mcdonalds.com/us/en-us/location/md/baltimore/825-east-fort-avenue/11851.html?cid=RF:YXT:GMB::Clicks,OPEN,,,,,,,,,,,,3/18/20
Mi & Yu,1016 S Charles St,(443) 388-9295,www.miandyunoodlebar.com,OPEN,,X,X,,X,,X,X,,,,3/18/20
Midnite Confections,1051 S Charles St,(410) 727-1010,www.midniteconfection.com,OPEN,,X,X,X,,X,X,,,X,,3/18/20
Mikies,210 E Fort Ave,(410) 332-1966,mikiespizzasubs.com,OPEN,http://mikiespizzasubs.com/order.html,X,X,X,,,,,,,,3/18/20
Mothers,1113 S Charles St,(410) 244-8686,www.mothersgrille.com,CLOSED,,,,,,X,,,,,,3/18/20
Muirs,36 E Fort Ave,(410) 385-0344,https://www.facebook.com/pages/category/Pub/Muirs-Tavern-287318201430213/,,,,,,,,,,,,,3/18/20
Nicks Fish House,2600 Insulator Dr. ,(410) 347-4123,http://nicksfishhouse.com,CLOSED,,,,,,,,,,,,3/18/20
Nobles,1024 S Charles St,(410) 727-1355,noblesbarandgrill.com,,,,,,,,,,,,,3/18/20
One-Star Country Club,38 E Cross St,(410) 727-5102,onestarcountryclub.com,,,,,,,,,,,,,3/18/20
Ono Poke,Cross Street Market,(667) 309-3584,https://www.onopokemd.com/,CLOSED,,,,,,,,,,,,3/18/20
Order & Chaos,1410 Key Highway,(410) 244-1111,orderchaoscoffee.com,CLOSED,,,,,,,,,,,,3/18/20
Papa Johns,1200 S Hanover St,(410) 783-7272,https://locations.papajohns.com/united-states/md/21230-3720/baltimore/1200-south-hanover-street,OPEN,https://www.papajohns.com/order/stores-near-me?searchType=DELIVERY,,,X,,,,,,,,3/18/20
Park Bench,1749 Belt Street,(443) 708-4190,www.parkbenchpubriverside.com,OPEN,,,,,,,,,,,,3/18/20
Phubs,1065 S Charles St,,https://eatphubs.com/menu-cross-st,OPEN,https://eatphubs.com/menu-cross-st,X,,,,,,,https://rallyforrestaurants.com/,,,3/18/20
Pizza Bolis,13 E Cross St,(410) 752-1500,https://www.pizzabolis.com/locations/federal-hill/,OPEN,https://pizzabolis-ecrossst.foodtecsolutions.com/menu?_ga=2.59325805.1515886055.1584540436-1397921976.1584540436,X,X,X,,,,,,,,3/18/20
Pizza Di Joey,Cross Street Market,(443) 869-2339,https://pizzadijoey.com/,OPEN,https://pizzadijoey.square.site/,X,X,,,,,,,,,3/18/20
Pizza Palace,1538 Light St. ,(443) 244-0444,https://www.pizzapalacebaltimore.com,OPEN,https://www.pizzapalacebaltimore.com/,X,,,,,,,,,,3/18/20
PokeBowl,1040 Light St,(443) 759-6229,http://www.pokebowlmd.com/,CLOSED,https://order.menusifu.com/poke-bowl-baltimore-restaurant#/store,,,,,,,,,,,3/18/20
PokeOno,849 E. Fort Ave. ,(667) 309-3849,https://pokeono.com/,OPEN,https://pokeono.com,X,,,,,,,,,,3/18/20
Pop Tacos,17 E Cross St,(443) 835-2489,http://places.singleplatform.com/pop-tacos/menu?ref=google,OPEN,,,,,,,,,,,,3/18/20
Pub Dog,20 E. Cross St. , (410) 727-6077,https://pubdog.com,CLOSED,https://pubdog.com/order-online/,,,,,,,,,,,3/18/20
Pure Raw Juice,1401 Riverside Ave. ,(410) 659-6298,http://www.purerawjuice.com,OPEN,https://prjfed-catering.hrpos.heartland.us,X,,,,,,,,,,3/18/20
Rice Crook,Cross Street Market,(443) 708-8408,https://www.ricecrook.com,CLOSED,https://www.ricecrook.com/order,,,,,,,,,,,3/18/20
Rooster & Hen,Cross Street Market,(301) 910-1669,https://www.roosterandhenmarket.com/,OPEN,,X,,,X,,,,,,,3/18/20
Ropewalk,1209 S Charles St,(410) 727-1298,https://baltimore.ropewalk.com/,CLOSED,,,,,,,,,,,,3/18/20
Royal Farms,1440 E. Key Hwy. ,(410) 387-4340,http://www.royalfarms.com,OPEN,,,,,,,,,,,,3/18/20
Royal Farms,Cross Street Market ,(443) 529-0101,http://www.royalfarms.com,CLOSED,,,,,,,,,,,,3/18/20
Rubens,1043 S. Charles St. ,(443) 228-2800,http://www.rubensbmore.com,OPEN,https://www.rubensbmore.com/online-ordering,X,,X,,,,,,,,3/18/20
Rusty Scupper,402 Key Hwy,(410) 727-3678,www.Rusty-Scupper.com,OPEN,,X,X,,,,,,,,,3/18/20
Rye Street Tavern,13 Rye St.,,http://www.ryestreettavern.com,CLOSED,,,,,,,,,,X,,3/18/20
Ryleighs,36 E Cross St,(410) 539-2093,www.ryleighs.com,OPEN,,X,,X,,X,,,,,,3/18/20
Sams Bagels,915 Light St. ,(410) 837-5447,https://www.facebook.com/pages/Sams-Bagels/113626648670248,OPEN,,,,,,,,,,,,3/18/20
Samos,1703 Whetstone Way,(410) 244-1714,https://www.samosgreekislandgrill.com,OPEN,https://www.samosgreekislandgrill.com/online-ordering,,,,,,,,,,,3/18/20
Schaefers Bar & Grill,121 W Randall St,(410) 752-1680,https://www.facebook.com/Schaeffers-Sports-Bar-560959770714792/?ref=br_rs,CLOSED,,,,,,,,,,,,3/18/20
Serenity Wine Bar,1121 Hull St. ,(443) 708-0392,"
https://serenitywinecafe.com",OPEN,,X,,,,,,,,,,3/18/20
Shottis,701 E. Fort Ave. ,(443) 759-6497,http://www.shottispoint.com/,OPEN,,X,X,,,,,,,,,3/18/20
Shoyou Sushi,1450 Light St,(410) 685-2989,www.sushibruce.com,OPEN,,X,X,,,,,,,,,3/18/20
Smoothie King,851 E Fort Ave,(410) 440-4290,https://locations.smoothieking.com/ll/US/MD/Baltimore/851-East-Fort-Ave_,OPEN,,X,X,,,,,,,,,3/18/20
Sobeachy,1065 S Charles St,(410) 624-5338,https://www.sobeachyhaitiancuisine.com/,OPEN,,X,,,,,,,,,,3/18/20
SoBo Cafe,6-8 W Cross St,(410) 752-1518,http://sobocafe.net/,OPEN,,X,,,X,X,,X,,,,3/18/20
SoBo Market,13 E. Randall St. ,(410) 685-6605,https://sobomarket.com,OPEN,https://www.grubhub.com/restaurant/sobo-market-13-e-randall-st-baltimore/482999,X,,,,,,,,,,3/18/20
Social Pub,25 E. Cross St. ,,,CLOSED,,,,,,,,,https://rallyforrestaurants.com/,,,3/18/20
Southside Burger Bar,1065 S Charles St,(443) 388-8321,https://www.southsideburgerbar.com,CLOSED ,https://www.grubhub.com/restaurant/southside-burger-bar-1065-s-charles-st-baltimore/1447188,,,,,,,,,,,3/18/20
Southside Diner,893 E Fort Ave,(410) 727-7067,www.eatatsouthside.com,CLOSED,https://www.eatatsouthside.com/orderonline,,,,X,X,,,,,,3/18/20
Southside Saloon,430 E. Fort Ave. ,(410) 547-9995,https://www.facebook.com/Stu1104/,OPEN,,,X,,,,,,,,,3/18/20
Spoons Cafe,24 E. Cross St. ,(410) 996-4712,https://www.spoonsbaltimore.com,OPEN,https://www.spoonsbaltimore.com/order-online/,X,,,,,,X,https://rallyforrestaurants.com/,,10% off all pickup orders ,3/19/20
Stalking Horse,26 E. Cross St. ,(410) 244-6722,https://stalkinghorsebar.com,CLOSED,,,,,,,,,,,,3/18/20
Starbucks,919 E. Fort Ave,(410) 244-1934,https://www.starbucks.com/store-locator/store/70102/southside-marketplace-919-e-fort-ave-baltimore-md-212304764-us,OPEN,,,,,,,,,,,,3/18/20
Starbucks,1801 Whetstone Way,(410) 528-8484,https://www.starbucks.com/store-locator/store/1014634/harris-teeter-baltimore-376-1801-whetstone-way-baltimore-md-21230-us,OPEN,,,,,,,,,,,,3/18/20
Steves Lunch,1065 S Charles St,(410) 385-2273,,CLOSED,,,,,,,,,,,,3/18/20
Subway,200 E Lexington,(410) 752-7772,https://www.subway.com/en-US/FindAStore,OPEN,X,X,,,,,,,,,,3/18/20
Sun Hing Chinese Food Carryout,1451 Light St,(410) 837-8482,sunhingtogo.com,OPEN,sunhingtogo.com,X,,X,X,X,X,X,,,,3/18/20
Tabrizis,500 Harborview Dr,(410) 727-3663,tabrizis.com,CLOSED,doordash.com,,,,X,,,,,,,3/18/20
Taco Love Grill,1065 S Charles St,(443) 869-3400,https://www.tacolovegrill.com/,OPEN,www.toasttab.com,X,,,,,,,,X,,3/18/20
Thai Arroy,1019 Light St,(410) 385-8587,thaiarroy-bt.com,OPEN,thaiarroy-bt.com,X,X,X,,X,,,X,,,3/18/20
The Charles,1110 S Charles St,(410) 727-2333,thecharlesbaltimore.com,CLOSED,,,,,,,,,,X,,3/18/20
The Outpost American Tavern,1032 Riverside Ave,(443) 388-9113,http://theoutpostbaltimore.com/,OPEN,grubhub.com,X,,X,,X,X,,,X,,3/18/20
The Port Public House,1229 Hull Street,(410) 244-6442,https://www.theportpublichouse.com/,,,,,,,,,,,,,3/18/20
The Sweet Shoppe,Cross Street Market,(443) 388-9624,https://www.crossstmarket.com/vendors/the-sweet-shoppe/,CLOSED,,,,,,,,,,,,3/18/20
The Urban Oyster,1704 Whetstone Way,(443) 948-5898,theurbanoyster.com,OPEN,,X,,X,X,X,,X,,,,3/18/20
Tinybrickoven,1036 Light St,(443) 627-8277,http://tinybrickoven.com/,OPEN,postmates,X,,X,,,,,,,,3/18/20
Ultimate Pizza,29 E Cross St,(410) 385-2131,http://orderultimatepizza.com/,OPEN,,X,,X,,X,,X,,,,3/18/20
Urban Deli,1025 Light St,(443) 708-0495,urbandelibmore.com,OPEN,,X,,X,,,,,,,,3/18/20
Utsuke Ramen,414 Light St #103,(443) 563-2977,ramenutsuke.com,OPEN,,X,,X,,X,,,,,,3/18/20
Wayward,1117 S Charles St,(410) 223-2269,places.singleplatform.com,CLOSED,,,,,,,,,https://www.toasttab.com/wayward-smoke-house/giftcards,,,3/18/20
Wiley Gunters,823 E Fort Ave,(410) 637-3699,wileygunters.com,OPEN,,X,,X,,X,,,X,,,3/18/20
World of Beer,1724 Whetstone Way,(410) 752-2337,https://worldofbeer.com/,OPEN,,,,,,,,,X,X,,3/18/20
Zaatar,1019 S Charles St,(443) 873-7463,https://www.zaatarbaltimore.com/,OPEN,"zaatarmediterranean.com,",X,,X,,X,X,,X,,,3/18/20
Zeeba Lounge,916 Light St,(410) 539-7900,www.zeebalounge.com,CLOSED,,,,,,,,,,,,3/18/20
